year,municipal_outcome_payment,insurance_risk_payment,utility_peak_reduction_payment,real_estate_value_capture,agriculture_tourism_benefit_share,cooling_credit_units,cooling_credit_revenue,gross_revenue,annual_operating_cost,annual_mrv_cost,annual_registry_cost,reserve_allocation,community_return,investor_distributable_cash_flow,investor_cash_flow_after_capex,cumulative_investor_cash_flow,discounted_investor_distributable_cash_flow,investor_npv,investor_roi,payback_year
1,2000000.0,1200000.0,800000.0,900000.0,700000.0,120000.0,4200000.0,9800000.0,2250000.0,500000,120000,693000.0,935550.0,5301450.0,-44698550.0,-44698550.0,5097548.076923077,43110385.41043918,1.845078342493706,9
2,2040000.0,1224000.0,816000.0,918000.0,714000.0,122999.99999999999,4304999.999999999,10017000.0,2250000.0,500000,120000,714700.0,964845.0,5467455.0,5467455.0,-39231095.0,5054969.48964497,43110385.41043918,1.845078342493706,9
3,2080800.0,1248480.0,832320.0,936360.0,728280.0,126074.99999999999,4412624.999999999,10238865.0,2250000.0,500000,120000,736886.5,994796.7749999999,5637181.725,5637181.725,-33593913.275,5011434.026691226,43110385.41043918,1.845078342493706,9
4,2122416.0000000005,1273449.6,848966.4000000001,955087.2000000002,742845.6000000001,129226.87499999996,4522940.624999998,10465705.424999999,2250000.0,500000,120000,759570.5425,1025420.2323749997,5810714.650124999,5810714.650124999,-27783198.624875,4967023.235804675,43110385.41043918,1.845078342493706,9
5,2164864.32,1298918.592,865945.728,974188.944,757702.512,132457.54687499994,4636014.140624998,10697634.236624997,2250000.0,500000,120000,782763.4236624998,1056730.6219443746,5988140.191018123,5988140.191018123,-21795058.43385688,4921814.7420729175,43110385.41043918,1.845078342493706,9
6,2208161.6064,1324896.96384,883264.6425600001,993672.72288,772856.56224,135768.98554687493,4751914.494140622,10934766.992060622,2250000.0,500000,120000,806476.6992060622,1088743.5439281838,6169546.748926376,6169546.748926376,-15625511.684930503,4875882.412847711,43110385.41043918,1.845078342493706,9
7,2252324.8385280003,1351394.9031168001,900929.9354112,1013546.1773376,788313.6934848,139163.2101855468,4870712.356494138,11177221.90437254,2250000.0,500000,120000,830722.190437254,1121474.9570902928,6355024.756844993,6355024.756844993,-9270486.92808551,4829296.516066621,43110385.41043918,1.845078342493706,9
8,2297371.33529856,1378422.8011791361,918948.5341194241,1033817.100884352,804079.967354496,142642.29044018546,4992480.165406492,11425119.90424246,2250000.0,500000,120000,855511.9904242461,1154941.187072732,6544666.7267454825,6544666.7267454825,-2725820.201340027,4782123.87223532,43110385.41043918,1.845078342493706,9
9,2343318.7620045315,1405991.2572027189,937327.5048018126,1054493.4429020393,820161.566701586,146208.34770119007,5117292.169541652,11678584.70315434,2250000.0,500000,120000,880858.470315434,1189158.9349258358,6738567.297913071,6738567.297913071,4012747.0965730436,4734428.000319006,43110385.41043918,1.845078342493706,9
10,2390185.137244622,1434111.0823467732,956074.0548978489,1075583.31176008,836564.7980356177,149863.55639371983,5245224.473780194,11937742.858065136,2250000.0,500000,120000,906774.2858065136,1224145.2858387933,6936823.286419829,6936823.286419829,10949570.382992873,4686269.257781657,43110385.41043918,1.845078342493706,9
11,2437988.8399895146,1462793.3039937087,975195.5359958059,1097094.9779952816,853296.0939963302,153610.1453035628,5376355.085624699,12202723.83759534,2250000.0,500000,120000,933272.383759534,1259917.7180753709,7139533.735760435,7139533.735760435,18089104.118753307,4637704.975002642,43110385.41043918,1.845078342493706,9
12,2486748.616789305,1492049.170073583,994699.446715722,1119036.8775551873,870362.0158762567,157450.39893615188,5510763.962765316,12473660.089775369,2250000.0,500000,120000,960366.0089775369,1296494.112119675,7346799.968678158,7346799.968678158,25435904.087431464,4588789.584291293,43110385.41043918,1.845078342493706,9
13,2536483.5891250907,1521890.1534750545,1014593.4356500364,1141417.615106291,887769.2561937819,161386.65890955564,5648533.061834447,12750687.111384701,2250000.0,500000,120000,988068.7111384701,1333892.7600369346,7558725.640209297,7558725.640209297,32994629.727640763,4539574.743711458,43110385.41043918,1.845078342493706,9
14,2587213.260907593,1552327.956544556,1034885.3043630372,1164245.9674084168,905524.6413176575,165421.3253822945,5789746.388380308,13033943.518921569,2250000.0,500000,120000,1016394.351892157,1372132.3750544118,7775416.791975001,7775416.791975001,40770046.51961576,4490109.455919824,43110385.41043918,1.845078342493706,9
15,2638957.526125745,1583374.515675447,1055583.010450298,1187530.8867565852,923635.1341440106,169556.85851685188,5934490.048089815,13323571.121241901,2250000.0,500000,120000,1045357.1121241902,1411232.1013676566,7996981.907750055,7996981.907750055,48767028.42736582,4440440.18221389,43110385.41043918,1.845078342493706,9
16,2691736.6766482596,1615042.005988956,1076694.670659304,1211281.5044917169,942107.8368268909,173795.77997977316,6082852.299292061,13619714.993907187,2250000.0,500000,120000,1074971.4993907188,1451211.52417747,8223531.970338997,8223531.970338997,56990560.39770482,4390610.951977885,43110385.41043918,1.845078342493706,9
17,2745571.410181225,1647342.846108735,1098228.56407249,1235507.1345815512,960949.9935634288,178140.67447926747,6234923.606774362,13922523.555281792,2250000.0,500000,120000,1105252.3555281793,1492090.6799630418,8455180.519790571,8455180.519790571,65445740.917495385,4340663.467707545,43110385.41043918,1.845078342493706,9
18,2800482.8383848495,1680289.7030309099,1120193.1353539398,1260217.2772731823,980168.9934346974,182594.19134124913,6390796.69694372,14232148.644421298,2250000.0,500000,120000,1136214.8644421299,1533890.066996875,8692043.712982293,8692043.712982293,74137784.63047768,4290637.205787686,43110385.41043918,1.845078342493706,9
19,2856492.4951525466,1713895.497091528,1142596.9980610188,1285421.622818646,999772.3733033914,187159.04612478035,6550566.614367312,14548745.600794442,2250000.0,500000,120000,1167874.5600794442,1576630.6561072497,8934240.384607747,8934240.384607747,83072025.01508543,4240569.513189763,43110385.41043918,1.845078342493706,9
20,2913622.3450555974,1748173.4070333585,1165448.9380222391,1311130.055275019,1019767.8207694591,191838.02227789984,6714330.779726494,14872473.345882166,2250000.0,500000,120000,1200247.3345882166,1620333.9016940924,9181892.109599857,9181892.109599857,92253917.12468529,4190495.700250019,43110385.41043918,1.845078342493706,9
