year,baseline_medical_cost,baseline_cooling_energy_cost,baseline_heat_disaster_cost,baseline_annual_cost,avoided_medical_cost,avoided_energy_cost,avoided_heat_disaster_cost,total_avoided_cost,cooling_credit_units,cooling_credit_revenue,annual_opex,annual_mrv_cost,implementation_annual_net_cost,annual_project_net_benefit,project_cash_flow_after_capex,cumulative_no_action_cost,cumulative_implementation_net_cost,cumulative_net_benefit,discounted_annual_net_benefit,wbgt_reduction_c,surface_temp_reduction_c,cooling_energy_reduction_rate,project_npv,project_roi,payback_year
1,2000000.0,3000000.0,1500000.0,6500000.0,360000.0,360000.0,120000.0,840000.0,20000.0,800000.0,650000,120000,5630000.0,870000.0,-11130000.0,6500000.0,17630000.0,-11130000.0,844660.1941747572,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
2,2069999.9999999998,3104999.9999999995,1552499.9999999998,6727499.999999999,372599.99999999994,372599.99999999994,124199.99999999999,869399.9999999999,20400.0,816000.0,650000,120000,5812099.999999999,915400.0,915400.0,13227500.0,23442100.0,-10214600.0,862852.2952210387,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
3,2142449.9999999995,3213674.9999999995,1606837.4999999998,6962962.499999999,385640.9999999999,385640.99999999994,128546.99999999999,899828.9999999998,20808.0,832320.0,650000,120000,6000813.499999999,962148.9999999998,962148.9999999998,20190462.5,29442913.5,-9252451.0,880502.6324049829,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
4,2217435.7499999995,3326153.624999999,1663076.8124999995,7206666.187499998,399138.4349999999,399138.4349999999,133046.14499999996,931323.0149999997,21224.160000000003,848966.4000000001,650000,120000,6196376.772499998,1010289.4149999998,1010289.4149999998,27397128.6875,35639290.2725,-8242161.585,897629.0598738181,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
5,2295046.0012499993,3442569.001874999,1721284.5009374996,7458899.504062498,413108.2802249999,413108.2802249999,137702.76007499997,963919.3205249998,21648.6432,865945.7279999999,650000,120000,6399034.455537498,1059865.0485249995,1059865.0485249995,34856028.191562496,42038324.7280375,-7182296.536475001,914248.9011194127,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
6,2375372.611293749,3563058.9169406234,1781529.4584703117,7719960.986704684,427567.0700328748,427567.0700328748,142522.35667762495,997656.4967433746,22081.616064,883264.6425600001,650000,120000,6609039.84740131,1110921.1393033746,1110921.1393033746,42575989.17826718,48647364.57543881,-6071375.397171626,930378.964583645,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
7,2458510.65268903,3687765.9790335447,1843882.9895167723,7990159.621239347,442531.91748402535,442531.91748402535,147510.6391613418,1032574.4741293925,22523.24838528,900929.9354111999,650000,120000,6826655.211698755,1163504.4095405925,1163504.4095405925,50566148.79950653,55474019.78713757,-4907870.987631033,946035.5588080166,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
8,2544558.5255331458,3816837.788299719,1908418.8941498594,8269815.207982724,458020.5345959662,458020.5345959662,152673.51153198877,1068714.5807239213,22973.7133529856,918948.534119424,650000,120000,7052152.093139378,1217663.1148433452,1217663.1148433452,58835964.00748926,62526171.88027695,-3690207.872787688,961234.5071408069,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
9,2633618.073926806,3950427.1108902087,1975213.5554451044,8559258.74026212,474051.25330682506,474051.253306825,158017.08443560835,1106119.5910492586,23433.187620045315,937327.5048018126,650000,120000,7285811.644411048,1273447.0958510712,1273447.0958510712,67395222.74775137,69811983.52468799,-2416760.7769366167,975991.1620146591,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
10,2725794.706514244,4088692.059771366,2044346.029885683,8858832.796171293,490643.0471725639,490643.0471725639,163547.68239085464,1144833.7767359824,23901.85137244622,956074.0548978489,650000,120000,7527924.964537462,1330907.8316338314,1330907.8316338314,76254055.54392266,77339908.48922545,-1085852.9453027854,990320.4188071289,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
11,2821197.521242242,4231796.2818633625,2115898.1409316813,9168891.944037285,507815.5538236035,507815.5538236035,169271.8512745345,1184902.9589217415,24379.888399895146,975195.5359958059,650000,120000,7778793.449119737,1390098.4949175473,1390098.4949175473,85422947.48795995,85118701.93834518,304245.54961476196,1004236.7292963522,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
12,2919939.4344857205,4379909.151728581,2189954.5758642904,9489803.162078591,525589.0982074296,525589.0982074296,175196.36606914323,1226374.5624840024,24867.48616789305,994699.446715722,650000,120000,8038729.152878867,1451074.0091997245,1451074.0091997245,94912750.65003854,93157431.09122404,1755319.5588144865,1017754.1147236396,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
13,3022137.314692721,4533205.972039081,2266602.9860195406,9821946.272751343,543984.7166446897,543984.7166446897,181328.23888156324,1269297.6721709426,25364.83589125091,1014593.4356500364,650000,120000,8308055.164930363,1513891.1078209793,1513891.1078209793,104734696.92278989,101465486.2561544,3269210.666635466,1030886.1784744518,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
14,3127912.1207069657,4691868.181060448,2345934.090530224,10165714.392297639,563024.1817272538,563024.1817272538,187674.72724241792,1313723.0906969255,25872.132609075932,1034885.3043630372,650000,120000,8587105.997237677,1578608.3950599628,1578608.3950599628,114900411.31508753,110052592.25339209,4847819.061695429,1043646.118388894,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
15,3237389.044931709,4856083.567397564,2428041.783698782,10521514.396028055,582730.0280877076,582730.0280877076,194243.34269590254,1359703.3988713177,26389.575261257447,1055583.010450298,650000,120000,8876227.98670644,1645286.4093216155,1645286.4093216155,125421925.71111558,118928820.24009852,6493105.471017044,1056046.7387125248,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
16,3350697.6615043185,5026046.492256478,2513023.246128239,10889767.399889035,603125.5790707773,603125.5790707774,201041.85969025915,1407293.017831814,26917.3667664826,1076694.670659304,650000,120000,9175779.711397918,1713987.6884911181,1713987.6884911181,136311693.11100462,128104599.95149644,8207093.159508162,1068100.4616979682,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
17,3467972.0796569693,5201958.119485455,2600979.0597427273,11270909.258885153,624234.9743382544,624234.9743382545,208078.32477941818,1456548.2734559271,27455.71410181225,1098228.56407249,650000,120000,9486132.421356736,1784776.837528417,1784776.837528417,147582602.36988977,137590732.37285316,9991869.99703658,1079819.3388675128,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
18,3589351.102444963,5384026.653667444,2692013.326833722,11665391.08294613,646083.1984400933,646083.1984400933,215361.0661466978,1507527.4630268845,28004.828383848497,1120193.1353539398,650000,120000,9807670.484565305,1857720.5983808246,1857720.5983808246,159247993.4528359,147398402.85741848,11849590.595417405,1091215.0619465895,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
19,3714978.3910305365,5572467.5865458045,2786233.7932729023,12073679.770849243,668696.1103854965,668696.1103854965,222898.7034618322,1560290.9242328252,28564.924951525467,1142596.9980610188,650000,120000,10140791.8485554,1932887.9222938437,1932887.9222938437,171321673.22368515,157539194.70597386,13782478.517711248,1102298.9734777121,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
20,3845002.6347166053,5767503.952074908,2883751.976037454,12496258.562828967,692100.4742489889,692100.4742489889,230700.15808299632,1614901.106580974,29136.223450555975,1165448.9380222391,650000,120000,10485908.518225754,2010350.0446032132,2010350.0446032132,183817931.7865141,168025103.22419962,15792828.562314462,1113082.0771242152,1.2,4.0,0.12,7810939.4868581295,1.3160690468595384,11
